"","MATICNIBROJ","DANOCENBROJ"
"1","6823769","4020012521389"
"2","6535593","4026009507659"
"3","6465757","4013009503390"
"4","6628451","4026010510230"
"5","6533558","4080009506819"
"6","6568092","4066010500147"
"7","6883800","4026013516794"
"8","6793550","4020012520196"
"9","6414974","4020008505166"
"10","6611079","4020010511645"
"11","6675905","4027011513794"
"12","6449123","4058009500114"
"13","6567509","4026010508537"
"14","6677410","4080011519430"
"15","6485111","5020009500692"
"16","6828850","4080012532456"
"17","6737463","4080011524115"
"18","6437222","4026008504877"
"19","6745199","4001011502963"
"20","6789447","4080012529285"
"21","6434304","4002008509929"
"22","6704018","4020011516284"
"23","6501001","4020009508070"
"24","6740804","4020011517698"
"25","6423370","4020008505360"
"26","6824331","4020012521419"
"27","6535046","4058009502982"
"28","6627056","4026010510159"
"29","6557210","4017010512608"
"30","6711847","4080011522350"
"31","6617891","4020010512013"
"32","6456782","4023009502690"
"33","6579930","4020010510584"
"34","6486290","4020009507448"
"35","6549080","4020010509624"
"36","6800718","4027012516690"
"37","6476015","4020009506913"
"38","6519067","4026009507284"
"39","6586074","5026010500548"
"40","6836240","4080012533231"
"41","6793959","4026012514356"
"42","6467830","4080009501868"
"43","6570267","4067010500321"
"44","6908195","4020013524160"
"45","6839126","4080013533618"
"46","6576672","4026010508804"
"47","6717110","4080011522805"
"48","6835058","4080012533088"
"49","6729460","4038011504916"
"50","6511600","4080009505278"
"51","6854214","4027013518114"
"52","6477143","4029009504888"
"53","6567045","4032010505473"
"54","6822487","4026012515093"
"55","6583091","4020010510690"
"56","6737323","4020011517582"
"57","6878024","4020013523199"
"58","6895247","4026013517146"
"59","6868851","4020013522885"
"60","6855385","4026013515909"
"61","6823297","4008012501604"
"62","6665640","4080010518294"
"63","6707912","4021011515497"
"64","6816932","4009012503573"
"65","6436145","4020008505735"
"66","6467482","4080009501825"
"67","6878768","4026013516611"
"68","6730205","4026011512953"
"69","6443974","4002009510564"
"70","6659870","4020010514199"
"71","6743820","4026011513194"
"72","6602738","4020010511343"
"73","6766013","4020012518825"
"74","6714269","4028011515580"
"75","6878806","4020013523237"
"76","6792316","4020012520137"
"77","6590659","4013010505347"
"78","6785255","4026012514143"
"79","6511031","4058009502222"
"80","6677878","4026011511400"
"81","6427634","5020008500508"
"82","6415873","4002008508787"
"83","4115040","4020985149807"
"84","6640125","4020010513532"
"85","6647022","4029010508706"
"86","6852165","4012013508553"
"87","6548121","4026009508035"
"88","6781063","5026012500960"
"89","6883540","4027013518734"
"90","6881661","4027013518700"
"91","6617808","4026010509827"
"92","6504825","4057009502676"
"93","6685323","4058011508793"
"94","6507751","4002009514500"
"95","6717543","4020011516780"
"96","6457061","4017009508516"
"97","6644791","4020010513753"
"98","6441823","4029009504101"
"99","6544606","4057009504350"
"100","6885683","4043013514114"
"101","6604188","4039010500409"
"102","6508740","4010009500987"
"103","6668267","4026011511175"
"104","6468420","5024009500299"
"105","6709966","4026011512333"
"106","6605362","4026010509525"
"107","6618634","4020010512188"
"108","6599036","4002010518595"
"109","6799108","4027012516657"
"110","6757014","4020012518370"
"111","6881343","4026013516689"
"112","6694411","4010011501583"
"113","6670393","4020011514605"
"114","6712339","4080011522414"
"115","6493890","4026009506504"
"116","6464602","4020009506565"
"117","6531741","4026009507535"
"118","6687229","4020011515466"
"119","6597254","4020010511173"
"120","6693520","4020011515750"
"121","6800610","4017012520101"
"122","6764096","4026012513619"
"123","6743420","4026011513186"
"124","6848923","4035013501486"
"125","6826806","4057012519253"
"126","6461549","4025009501344"
"127","6801927","4020012520552"
"128","6882595","4020013523318"
"129","6431160","5027008501576"
"130","6745369","4020011517876"
"131","6444903","4028009508089"
"132","6601766","4020010511335"
"133","6765939","4032012516359"
"134","6504540","4057009502668"
"135","6471412","4024009501372"
"136","6563627","4080010509651"
"137","6691625","4032011513089"
"138","6457452","4026009505397"
"139","6138810","4026006133260"
"140","6681450","4080011519731"
"141","6520456","4026009507314"
"142","6548440","5026009500518"
"143","6692133","4058011509153"
"144","6486215","4080009503550"
"145","6737862","4020011517590"
"146","6559620","4027010510686"
"147","6508944","4027009509259"
"148","6619509","4020010512315"
"149","6499040","4020009507952"
"150","6592570","4080010511710"
"151","6686044","4026011511655"
"152","6654819","4026010510850"
"153","6632246","4026010510310"
"154","6448313","4020009506018"
"155","6446302","4002009510661"
"156","6476198","4020009506921"
"157","6500013","4020009507987"
"158","6428991","4027008506566"
"159","6511180","4002009514730"
"160","6770991","4020012519198"
"161","6800688","4009012503476"
"162","6669891","4026011511230"
"163","6488919","4026009506334"
"164","6544509","4020009509386"
"165","6757448","5028012506074"
"166","6479022","4021009508335"
"167","6793495","4080012529668"
"168","6573630","4027010511143"
"169","6544851","4017009512246"
"170","6744729","4027011515339"
"171","6814565","4021012519755"
"172","6754996","4020012518345"
"173","6445632","4026009505095"
"174","6549217","4020010509632"
"175","6467865","4009009501586"
"176","6631819","4026010510302"
"177","6653170","4026010510809"
"178","6574009","4021010511544"
"179","6494854","5024009500302"
"180","6593933","5013010502465"
"181","6748414","5026011500886"
"182","6582273","4039010500344"
"183","6520634","4029009505884"
"184","6440746","4030008054771"
"185","6560075","5028010503833"
"186","6665349","4027010513324"
"187","6479570","4080009502945"
"188","6574858","4057010505735"
"189","6692800","4029011509625"
"190","6614493","4020010511718"
"191","6679439","5021011502623"
"192","6557481","4058010503984"
"193","6430210","4026008504745"
"194","6821146","4020012521290"
"195","6756549","4080012526251"
"196","6482120","4020009507235"
"197","6750109","4026011513283"
"198","6559743","5080010500780"
"199","6686265","5024011500506"
"200","6851398","4057013520620"
"201","6811019","4080012530941"
"202","6536867","4084009500190"
"203","6510213","4080009505197"
"204","6606601","4020010511513"
"205","6548679","4039010500220"
"206","6607039","4026010509592"
"207","6422047","4002008509228"
"208","6717152","4080011522821"
"209","6534414","4079009500375"
"210","6474349","4032009501294"
"211","6659624","4038010503622"
"212","6419054","4028008506759"
"213","6465749","4002009511889"
"214","6763219","4080012526847"
"215","6565913","4047010500231"
"216","6456391","5002009501470"
"217","6646492","4058010507130"
"218","6636934","4020010513338"
"219","6684025","4026011511582"
"220","6839053","4086013501552"
"221","6648053","5013010502635"
"222","6437052","4020008505760"
"223","6561233","4010010501202"
"224","6419798","5016008500209"
"225","6901247","4080013539217"
"226","6764894","5028012506252"
"227","6776604","4044012506289"
"228","6551246","4032010504663"
"229","6523315","4043009502454"
"230","6330207","4030008021652"
"231","6539840","4043009502810"
"232","6156460","4030006610006"
"233","6642101","4043010506218"
"234","6697160","4043011508133"
"235","6683819","4043011507633"
"236","6239307","4030007638613"
"237","6315267","4030008016802"
"238","6516211","4043009502276"
"239","6565662","4043010503901"
"240","6791751","4043012511260"
"241","6170226","4030006615806"
"242","6413722","4030008045926"
"243","6803709","4043012511588"
"244","6583377","4043010504509"
"245","6658130","4043010506870"
"246","6683606","4043011507641"
"247","6567410","4043010503987"
"248","6776183","4043012510700"
"249","6580033","4043010504444"
"250","6149707","4030006607358"
"251","6696384","4043011508117"
"252","6760368","4043012510212"
"253","6213243","5030007243329"
"254","6288847","4030007008040"
"255","6164960","4030006612980"
"256","6536557","4043009502748"
"257","6349587","4030008027120"
"258","6885039","4043013514068"
"259","6504485","4043009501997"
"260","6807100","4043012511677"
"261","6449590","4043009500184"
"262","6334032","4030008022756"
"263","6242545","4030007639741"
"264","6098037","4030006588914"
"265","6069606","4030005577404"
"266","6289690","4030007008350"
"267","6469388","4044009500598"
"268","6840752","4044013507491"
"269","6807569","4044012506920"
"270","6422632","4030008048828"
"271","6467199","4044009500520"
"272","6324053","4030008019739"
"273","6707394","4044011504983"
"274","6069673","4030005577358"
"275","6799779","4044012506769"
"276","6656285","4044010504084"
"277","6614574","4044010503355"
"278","6071856","4030006578374"
"279","6724183","4044011505440"
"280","6461255","4044009500334"
"281","6416187","4030008046710"
"282","6695450","4044011504746"
"283","6343090","4030008025186"
"284","6875980","4044013508161"
"285","6703550","5044011500329"
"286","6660029","4044010504157"
"287","6814140","4044012507153"
"288","6768580","4044012506149"
"289","6878814","4044013508188"
"290","6501893","4057009502587"
"291","6083668","4030005583242"
"292","6116590","4030006595996"
"293","6702929","4057011512670"
"294","6113621","4030006594906"
"295","6632858","4057010509145"
"296","6245021","4030007640669"
"297","6806244","5057012501137"
"298","6222196","4030007633131"
"299","6118224","4030006596682"
"300","6476830","4057009501424"
"301","6368077","4030008033235"
"302","6167497","4030006614591"
"303","6902308","4057013522932"
"304","6363458","4030008031577"
"305","6839363","4057013520107"
"306","6168183","4030006614893"
"307","6686850","4057011511879"
"308","6644198","4057010509609"
"309","6653707","4057010510143"
"310","6631118","4057010509013"
"311","6241573","4030007639458"
"312","6661939","4057010510690"
"313","6852831","4057013520719"
"314","6442838","4030009055461"
"315","6149286","4030006607226"
"316","6447937","4057009500053"
"317","6658881","4057010510488"
"318","6615660","4057010507673"
"319","6701337","4057011512557"
"320","6088589","4030006585206"
"321","6833810","4057012519741"
"322","6355188","4030008028622"
"323","6232426","4030007636378"
"324","6752390","4057011514975"
"325","6661076","4057010510623"
"326","6370390","4030008034096"
"327","6776990","4057012516491"
"328","6644619","4057010509633"
"329","6141862","4030006604286"
"330","6827861","4057012519318"
"331","6714072","4057011513260"
"332","6406483","4030008043702"
"333","6203060","4030007626429"
"334","6583423","4057010506286"
"335","6556094","4057010504950"
"336","6562566","4057010505204"
"337","6351514","4030008027570"
"338","6095119","4030006587624"
"339","6226167","4030007634480"
"340","6119174","4030006597093"
"341","6167519","4030006614346"
"342","6484360","4057009501815"
"343","6317588","4030008017515"
"344","6595979","4057010506855"
"345","6717063","5057011500650"
"346","6355668","4030008028770"
"347","6073786","4030006579303"
"348","6469507","4057009501092"
"349","6786464","4057012517374"
"350","6294340","4030007009861"
"351","6820794","4057012518990"
"352","6240283","4030007639113"
"353","6604200","4057010507142"
"354","6315771","4030008016934"
"355","6777830","4057012516580"
"356","6519644","4057009503214"
"357","6777791","4057012516564"
"358","6442650","4030009055437"
"359","6391427","4030008040150"
"360","6754147","4058012511771"
"361","6364160","4030008031771"
"362","6427987","4030008050539"
"363","6885080","4058013516580"
"364","6884776","4058013516564"
"365","6117589","4030006596275"
"366","6242847","4030007639890"
"367","6406866","4030008043770"
"368","6066097","4030006575910"
"369","6669220","4058011508068"
"370","6581137","4058010504948"
"371","6611532","4058010505731"
"372","6471838","4058009500947"
"373","6767737","4058012512271"
"374","6697070","4058011509390"
"375","6308376","4030008014524"
"376","6874100","4058013516220"
"377","6471960","4058009500963"
"378","6546307","4058009503482"
"379","6663737","4058010507840"
"380","6510086","4058009502206"
"381","6658113","4058010507629"
"382","6495435","4058009501641"
"383","6466133","4058009500777"
"384","6638740","4058010506843"
"385","6416861","4030008046949"
"386","6519407","4058009502397"
"387","6890717","4058013516718"
"388","6193668","4030006623876"
"389","6407340","4030008043915"
"390","6272592","4030007003103"
"391","6818730","4058012514320"
"392","6692419","4058011509188"
"393","6867766","4058013516033"
"394","6759726","4058012511992"
"395","6710670","4058011510194"
"396","6428320","4030008050644"
"397","6697275","4058011509439"
"398","6472753","4058009501013"
"399","6795854","4080012529943"
"400","6679323","4080011519570"
"401","6803857","4080012530534"
"402","6353592","4030008028215"
"403","6706258","4080011522155"
"404","6822908","4080012531867"
"405","6754090","4080012525921"
"406","6612687","4080010513365"
"407","6614388","4080010513608"
"408","6259642","4030007645369"
