"","MATICNIBROJ","DANOCENBROJ"
"1","4669991","4020993109580"
"2","5004756","4020995106987"
"3","5004756","4020995106987"
"4","5004756","4020995106987"
"5","5004756","4020995106987"
"6","5004756","4020995106987"
"7","5004756","4020995106987"
"8","5004756","4020995106987"
"9","5004756","4020995106987"
"10","5004756","4020995106987"
"11","5004756","4020995106987"
"12","5004756","4020995106987"
"13","5004756","4020995106987"
"14","5004756","4020995106987"
"15","5004756","4020995106987"
"16","5004756","4020995106987"
"17","4602528","4020993115393"
"18","4651618","4020993108125"
"19","5176646","5020990102391"
"20","4008464","4020991104327"
"21","5373603","4020999123754"
"22","5502772","4020001127000"
"23","5368448","4020000123272"
"24","4266609","4020991106923"
"25","5165474","4020997123226"
"26","4268822","4020991113040"
"27","4370228","4020992105769"
"28","5158524","4020992115837"
"29","5192374","4020998117130"
"30","4116682","4020988115253"
"31","5482003","5021000108583"
"32","5498104","4021001130007"
"33","5498082","4021001129998"
"34","5217440","5021998105841"
"35","5338271","5021999106701"
"36","4277287","4021991111451"
"37","4267133","4027991104879"
"38","5487234","4027001129252"
"39","5420857","4003000102893"
"40","5140552","5029996101670"
"41","5226597","5029998102495"
"42","5512310","5029001104370"
"43","5262640","5029998103017"
"44","4067037","4030974258740"
"45","5074703","4004995105675"
"46","4131657","4006990100643"
"47","4176596","4006990102646"
"48","4201035","4006991105282"
"49","4354427","4006992102210"
"50","4454537","4006992107084"
"51","4558715","4006992100764"
"52","4820053","4006994102659"
"53","4613198","4006993105751"
"54","5079365","4006995108081"
"55","5099048","4006996108018"
"56","5262739","4006998109348"
"57","5291399","4006999109554"
"58","5352045","5006999104610"
"59","5417457","4006000111042"
"60","5532248","4024001104951"
"61","4045254","4027950118040"
"62","4045254","4027950118040"
"63","4152719","4027990104174"
"64","4188519","4027990118132"
"65","4188519","4027990118132"
"66","4320964","4027992105755"
"67","4573021","4027993109452"
"68","4592310","4027993118281"
"69","4817842","4027994117351"
"70","4406729","4027992113413"
"71","4903960","4027994111280"
"72","4876458","4027994112139"
"73","5163552","4027997115082"
"74","5237955","4027998122252"
"75","5276527","4027999122949"
"76","5458447","4027000128368"
"77","5220874","5027998107079"
"78","5221293","5027998107141"
"79","5217431","5027998106994"
"80","4401484","4023992103250"
"81","4196589","4028990100744"
"82","4420861","4028992103295"
"83","4438132","4028992107371"
"84","5081866","4028995110756"
"85","4579844","4028993116153"
"86","5414083","4028000123214"
"87","5467772","4028000125527"
"88","5338077","4028999127955"
"89","5466547","4028000126680"
"90","4871073","4007995107111"
"91","5055571","4007995110589"
"92","5386594","5007994103280"
"93","5406021","5007000117326"
"94","5442257","5007996107143"
"95","5470340","5007000118217"
"96","5279330","4004999109004"
"97","4482859","4006992103542"
"98","4594134","4006993103350"
"99","4360150","4011992106340"
"100","5303621","4011999112826"
"101","5380987","4011000113693"
"102","4167414","4002991112356"
"103","5112443","4030996230008"
"104","5524563","4017001137594"
"105","4695615","4030993157555"
"106","5572193","5020986102964"
"107","5509696","4030001410084"
"108","4623258","4017993103041"
"109","5294061","4030999373640"
"110","5004314","4017995104002"
"111","4630700","4017993101197"
"112","5016606","4017993102037"
"113","5411319","4030000419991"
"114","4302435","4030992129701"
"115","4191331","4002990100176"
"116","4258339","4030991106643"
"117","4097408","4012989104619"
"118","5549248","4020010149890"
"119","4064585","4030990255017"
"120","5260264","4002998136587"
"121","5100259","4002996128803"
"122","5508711","4030001410416"
"123","4045297","4027955118731"
"124","4045254","4027950118040"
"125","4156218","4027990103666"
"126","4225848","4027991103961"
"127","4232810","4027991115625"
"128","4296273","4027992104937"
"129","4337298","4027992104520"
"130","4573021","4027993109452"
"131","4697154","4027993120219"
"132","4768442","4027993113956"
"133","4594924","4027993111546"
"134","4869109","4027994101730"
"135","4896947","4027994118501"
"136","5111544","4027996100618"
"137","5150485","4027997101197"
"138","5264995","4027999122507"
"139","5300592","4027999123694"
"140","5315638","4027999124640"
"141","5339120","4027999125034"
"142","5443024","4027000128139"
"143","5468566","4027000128686"
"144","5490561","4027001129449"
"145","5503388","4027001129899"
"146","5350476","4027999125336"
"147","4397169","4023992104699"
"148","4908279","4023994108330"
"149","4448235","4029992112860"
"150","4156765","4007990110823"
"151","4156765","4007990110823"
"152","4808380","4007994108971"
"153","4861337","4007994106456"
"154","4988353","4007996101214"
"155","5281679","5007999114906"
"156","5394350","5007000115889"
"157","5329469","4007999118665"
"158","4793099","4007994119736"
"159","5509467","4007001120459"
"160","4033957","4007997113496"
"161","4020375","4011986111260"
"162","4020375","4011986111260"
"163","4130405","4011990104782"
"164","4165365","4011990103204"
"165","4183916","4011990100450"
"166","4305582","4011994102628"
"167","4327144","4011992104364"
"168","4458427","4011992101470"
"169","4625722","4011993110465"
"170","4736125","4011996101424"
"171","4802799","4011994109690"
"172","4916212","4011994107590"
"173","5303656","4011999112818"
"174","5302595","4011999112745"
"175","5350522","5011998103517"
"176","5423317","4011000114320"
"177","5450551","4011000114959"
"178","5445264","4011000114894"
"179","4021843","4011989101168"
"180","4347102","4019992104039"
"181","4493206","4019992102109"
"182","4583981","4019992100130"
"183","4804805","4019994101835"
"184","4956869","4019994100375"
"185","4817001","4019993104792"
"186","5309948","4019999105391"
"187","9000196","1000000000008"
"188","9000756","1000000000011"
"189","9000040","2365646546"
"190","9000438","1000000000166"
"191","5535409","4026001119595"
"192","5557852","4020001129118"
"193","5539234","4026001119544"
"194","5533899","4026001119625"
"195","4215770","4027991116516"
"196","4191307","4029990101500"
"197","4227115","4029991111533"
"198","4337662","4029992104816"
"199","4377907","4029992101574"
"200","4755014","4029993109293"
"201","4950097","4029995101605"
"202","4361105","4029992112428"
"203","4991583","4029995108855"
"204","5010837","4029995112968"
"205","5079896","4029995101745"
"206","5094577","4029996101005"
"207","4448235","4029992112860"
"208","5224730","4029998114074"
"209","5373085","4029000118144"
"210","5385946","4029000118209"
"211","5428815","4029000118845"
"212","4148045","4029990101399"
"213","5495385","4029001120134"
"214","5516897","4029001120657"
"215","4270347","4029991106378"
"216","4738985","4029993110305"
"217","4032357","4028975116715"
"218","4158342","4028990113480"
"219","4196589","4028990100744"
"220","4241991","4028991114706"
"221","4429745","4028992105492"
"222","4528174","4028992104470"
"223","4598865","4028993113642"
"224","4834232","4028994105813"
"225","4579844","4028993116153"
"226","5365929","4028999121574"
"227","5295483","5028999117554"
"228","5473560","4028000125772"
"229","5466547","4028000126680"
"230","5487323","4028001126330"
"231","4071255","4028986118426"
"232","4981197","4028999127025"
"233","5257611","5007998111695"
"234","4864379","4007994102612"
"235","5001188","4007995111950"
"236","5304270","4007999115615"
"237","5425387","4007000118647"
"238","5493595","4007001120114"
"239","4067037","4030974258740"
"240","4055306","4004996104125"
"241","4135083","4004990101590"
"242","4139674","4004990102481"
"243","4177100","4004994102044"
"244","4180771","4004990103100"
"245","4189787","4004990104760"
"246","4212193","4004991103554"
"247","5471613","5006000105690"
"248","5488818","4006001112018"
"249","4910117","4006994112000"
"250","5530547","4006001112476"
"251","4070798","4006994100184"
"252","5220521","5006998104129"
"253","4202732","4011991101272"
"254","5469457","4020000125801"
"255","4458516","4020992102026"
"256","5046718","4020995107401"
"257","4832574","4020994109788"
"258","5042143","4020995109773"
"259","5535263","4020001127980"
"260","5064295","4020995117490"
"261","5036305","4021851126300"
"262","4318617","4020992111734"
"263","4551753","4017993123158"
"264","4120108","4030989200004"
"265","5378257","4020000123329"
"266","4387040","4020992103995"
"267","5247306","4020998121111"
"268","4897374","4020994108617"
"269","5164621","5020997105256"
"270","5487919","4020001126135"
"271","5440807","5020000106100"
"272","5306337","5020963101847"
"273","5223776","4020998118684"
"274","5110394","4020996102217"
"275","4483987","4020992107532"
"276","4370384","4020992107389"
"277","4230027","4020991112745"
"278","4153596","4030990266949"
"279","4929390","4020994117918"
"280","5488826","4006000112618"
"281","4664752","4020993108206"
"282","5541913","4020001128324"
"283","4172370","4020990102169"
"284","4809807","4020994105669"
"285","4290178","4020991101280"
"286","5085616","4030995254370"
"287","4967062","4017995106560"
"288","4422554","4020992116558"
"289","4237510","4020991108322"
"290","5203490","4020998117009"
"291","5136342","4017996100744"
"292","4196309","4030990164704"
"293","5542839","4030001420411"
"294","5375487","4020000123230"
"295","4723821","4020993107366"
"296","5318572","4020999123410"
"297","5313775","4020999121948"
"298","4190734","4024990100129"
"299","4400968","4020992102492"
"300","4228618","4004991101519"
"301","4245725","4004991101810"
"302","4249933","4004991104038"
"303","4295501","4004992105224"
"304","4345142","4004992100451"
"305","4545303","4004992102314"
"306","4435133","4004992100362"
"307","4863224","4004994103679"
"308","4871537","4004994102060"
"309","4991729","4004995101530"
"310","4455843","4030992240823"
"311","4885236","4004994107526"
"312","5195284","5004998106277"
"313","5279330","4004999109004"
"314","4803396","4004994109383"
"315","5341019","4004999110185"
"316","5250978","5004990103635"
"317","5452317","4004000112402"
"318","5532825","4004001111884"
"319","5020263","4004994104810"
"320","5260205","5004998107923"
"321","5536685","5026001106888"
"322","4125428","4020989109206"
"323","4573919","4017992107078"
"324","4964250","4017994100356"
"325","4968581","4004995101645"
"326","4255275","4030991162284"
"327","5252598","4030998376476"
"328","5049954","4030995110351"
"329","5535808","4026001120410"
"330","5016606","4017993102037"
"331","4302435","4030992129701"
"332","5542448","4026001119706"
"333","5534496","4029001121289"
"334","4453859","4026992109088"
"335","4933087","4030994143868"
"336","4717830","4020993109423"
"337","4064534","4030992242699"
"338","5273048","4026998115152"
"339","4636732","4029993105310"
"340","4456700","4030992100592"
"341","4901894","4030994271696"
"342","4249135","4030990249440"
"343","4249135","4030990249440"
"344","4166329","4002990104244"
"345","5435803","4030000389626"
"346","5215315","4017998127364"
"347","5215315","4017998127364"
"348","5215315","4017998127364"
"349","5215315","4017998127364"
"350","5215315","4017998127364"
"351","5215315","4017998127364"
"352","5215315","4017998127364"
"353","5215315","4017998127364"
"354","4819802","4026994101211"
"355","5372631","4030000375706"
"356","4322223","4017992117472"
"357","5548080","4026001120372"
"358","5183715","4020996119799"
"359","4008812","4020963122450"
"360","5162246","4020997120146"
"361","4118634","4020989114650"
"362","4008626","4020964114647"
"363","5535832","5026001106918"
"364","4011147","4002978112940"
"365","4053974","4030995129290"
"366","5107636","4030996112730"
"367","5269571","4030999356134"
"368","4143329","4030990231002"
"369","4003829","4026983111312"
"370","4007999","4020990116062"
"371","4201825","4013991101682"
"372","5545200","4020001128375"
"373","5329167","4030999369228"
"374","4202325","4030990153028"
"375","5540232","4013001114050"
"376","4574478","4020993102100"
"377","4456700","4030992100592"
"378","4853440","4030994171608"
"379","5370841","4030000377520"
"380","4008758","4020977114379"
"381","5534798","5026001106993"
"382","4008146","4020947118604"
"383","5544629","4030001421809"
"384","5544602","4030001421744"
"385","5321859","4020999128365"
"386","4326393","4020992109748"
"387","5385458","4030000383440"
"388","5362903","4020999123398"
"389","4008804","4020984119432"
"390","5544971","4020001131880"
"391","5327580","4011999112990"
"392","4008740","4020995105883"
"393","4300416","4013992103280"
"394","4008715","4020984100030"
"395","4976380","4020995100466"
"396","5136318","4030996253997"
"397","5120276","4030996205194"
"398","4662709","4027993109029"
"399","5519756","4013001113584"
"400","4997875","4013995105038"
"401","5466687","4030000398064"
"402","4351584","4030992110644"
"403","4351584","4030992110644"
"404","4506847","4030992155567"
"405","4286774","4030991193627"
"406","5139465","4020996106760"
"407","4540794","4027993117471"
"408","5023947","4013995103361"
"409","4186656","4030990187275"
"410","4788036","4030994419260"
"411","4700040","4030993193713"
"412","4957130","4030995148707"
"413","4321413","4030992136260"
"414","4161238","4030990235903"
"415","4008359","4020985114078"
"416","4098145","4020983114062"
"417","4911113","4030994206274"
"418","5522714","4030001418476"
"419","4295846","4030991211870"
"420","5544815","4030001421132"
"421","4345452","4002992126997"
"422","4582918","4012993100253"
"423","4778529","4030994256042"
"424","5215951","4002998132832"
"425","4136802","4002990124997"
"426","4601912","4002993119706"
"427","5546311","5020990100380"
"428","5546354","5020984102517"
"429","4357329","4002992103997"
"430","5234565","4030998346429"
"431","5221064","5020997102222"
"432","5221064","5020997102222"
"433","5075041","4030995236606"
"434","4503422","4030992220733"
"435","4901983","4030994193660"
"436","5455642","4030000395065"
"437","5374863","4017000132734"
"438","5547245","4017005151990"
"439","5445558","4012000110712"
"440","4803701","4002994134024"
"441","4136217","4030993125769"
"442","5161037","5020996103799"
"443","5175330","5020997102320"
"444","5546427","4030001422023"
"445","4955676","4002994109950"
"446","5228328","4030998344590"
"447","5136458","4006996102630"
"448","4427416","4030992153823"
"449","5231175","4002998134452"
"450","4238788","4012991106955"
"451","4255178","4030994222440"
"452","4134443","4030990172456"
"453","5045541","4017995105939"
"454","4577990","4017992107671"
"455","5212065","5020993101205"
"456","5141982","4020996115688"
"457","5259509","4002998135963"
"458","5232961","5004991101822"
"459","4209290","4002991129615"
"460","4875605","4017994105412"
"461","5461472","5020996106216"
"462","5261520","5020993102600"
"463","5550564","4030001423860"
